id,subject,subject_type,schooling_type,faculty_type,credit,year
9239,哲学特殊（堤林）,文学部専門教育科目,春期メディア授業,第1類,2,2021
7722,近代日本と福澤諭吉,経済学部専門教育科目,春期メディア授業,,2,2021
7723,ゲーム理論,経済学部専門教育科目,春期メディア授業,,2,2021
7724,マルクス経済学,経済学部専門教育科目,春期メディア授業,,2,2021
9210,倫理学特殊,経済学部専門教育科目,春期メディア授業,,2,2021
9218,西洋史概説,経済学部専門教育科目,春期メディア授業,,2,2021
9231,日本政治論,経済学部専門教育科目,春期メディア授業,,2,2021
9229,社会学特殊（竹ノ下）,経済学部専門教育科目,春期メディア授業,,2,2021
9234,法哲学,経済学部専門教育科目,春期メディア授業,,2,2021
9211,社会学特殊（岡原）,経済学部専門教育科目,春期メディア授業,,2,2021
9237,国際法,経済学部専門教育科目,春期メディア授業,,2,2021
9240,政治思想論,経済学部専門教育科目,春期メディア授業,,2,2021
7725,日本政治論,法学部専門教育科目,春期メディア授業,甲類・乙類,2,2021
7971,社会学特殊（竹ノ下）,法学部専門教育科目,春期メディア授業,甲類・乙類,2,2021
7727,法哲学,法学部専門教育科目,春期メディア授業,甲類・乙類,2,2021
7728,国際法,法学部専門教育科目,春期メディア授業,甲類・乙類,2,2021
7729,政治思想論,法学部専門教育科目,春期メディア授業,甲類・乙類,2,2021
9222,近代日本と福澤諭吉,法学部専門教育科目,春期メディア授業,甲類・乙類,2,2021
9226,ゲーム理論,法学部専門教育科目,春期メディア授業,甲類・乙類,2,2021
9212,社会学特殊（岡原）,法学部専門教育科目,春期メディア授業,甲類・乙類,2,2021
9227,マルクス経済学,法学部専門教育科目,春期メディア授業,甲類・乙類,2,2021
7710,哲学,総合教育科目,秋期メディア授業,3分野科目/人文科学分野,2,2021
7711,政治学,総合教育科目,秋期メディア授業,3分野科目/社会科学分野,2,2021
7968,統計学,総合教育科目,秋期メディア授業,3分野科目/自然科学分野,2,2021
7730,社会学特殊（岡原）,文学部専門教育科目,秋期メディア授業,第1類,2,2021
7718,図書館・情報学,文学部専門教育科目,秋期メディア授業,第1類,2,2021
7719,イギリス文学,文学部専門教育科目,秋期メディア授業,第3類,2,2021
9235,社会学特殊（玉井）,文学部専門教育科目,秋期メディア授業,第1類,2,2021
