id,subject,subject_type,schooling_type,faculty_type,credit,year,class_code
18952,新・国際法Ⅱ,法学部専門教育科目,テキスト科目,甲類・乙類,2,2025,T0EC006704
18953,行政法,法学部専門教育科目,テキスト科目,甲類・乙類,4,2025,T0EC003703
18954,物権法,法学部専門教育科目,テキスト科目,甲類・乙類,3,2025,T0EC003804
18955,債権総論,法学部専門教育科目,テキスト科目,甲類・乙類,3,2025,T0EC000103
18956,債権各論,法学部専門教育科目,テキスト科目,甲類・乙類,3,2025,T0EC002404
18957,親族法,法学部専門教育科目,テキスト科目,甲類・乙類,1,2025,T0EC001703
18958,相続法,法学部専門教育科目,テキスト科目,甲類・乙類,1,2025,T0EC000204
18959,会社法（Ｊ）,法学部専門教育科目,テキスト科目,甲類・乙類,4,2025,T0EC000305
18960,商法総則・商行為法,法学部専門教育科目,テキスト科目,甲類・乙類,2,2025,T0EC011202
18961,保険法・海商法,法学部専門教育科目,テキスト科目,甲類・乙類,3,2025,T0EC011302
18962,新・手形法,法学部専門教育科目,テキスト科目,甲類・乙類,2,2025,T0EC002603
18963,刑事政策学,法学部専門教育科目,テキスト科目,甲類・乙類,2,2025,T0EC005903
18964,刑法各論,法学部専門教育科目,テキスト科目,甲類・乙類,4,2025,T0EC003904
18965,民事訴訟法,法学部専門教育科目,テキスト科目,甲類・乙類,4,2025,T0EC002704
18966,倒産法,法学部専門教育科目,テキスト科目,甲類・乙類,2,2025,T0EC003605
18967,刑事訴訟法,法学部専門教育科目,テキスト科目,甲類・乙類,4,2025,T0EC004005
18968,国際私法,法学部専門教育科目,テキスト科目,甲類・乙類,2,2025,T0EC000403
18969,労働法（Ｊ）,法学部専門教育科目,テキスト科目,甲類・乙類,2,2025,T0EC000502
18970,経済法（Ｊ）,法学部専門教育科目,テキスト科目,甲類・乙類,2,2025,T0EC002005
18971,英米法,法学部専門教育科目,テキスト科目,甲類・乙類,2,2025,T0EC001901
18972,政治学（Ｊ）,法学部専門教育科目,テキスト科目,甲類・乙類,6,2025,T0EC002101
18973,政治哲学,法学部専門教育科目,テキスト科目,甲類・乙類,2,2025,T0EC002802
18974,日本政治史,法学部専門教育科目,テキスト科目,甲類・乙類,2,2025,T0EC001101
18975,ヨーロッパ政治史,法学部専門教育科目,テキスト科目,甲類・乙類,1,2025,T0EC000701
18976,アメリカ政治史,法学部専門教育科目,テキスト科目,甲類・乙類,4,2025,T0EC008103
18977,ロシアの政治,法学部専門教育科目,テキスト科目,甲類・乙類,2,2025,T0EC009601
18978,現代中国論,法学部専門教育科目,テキスト科目,甲類・乙類,2,2025,T0EC008802
18979,日本外交史Ⅰ,法学部専門教育科目,テキスト科目,甲類・乙類,4,2025,T0EC004201
18980,日本外交史Ⅱ,法学部専門教育科目,テキスト科目,甲類・乙類,4,2025,T0EC005302
18981,西洋外交史,法学部専門教育科目,テキスト科目,甲類・乙類,4,2025,T0EC001201
18982,政治思想史,法学部専門教育科目,テキスト科目,甲類・乙類,4,2025,T0EC100001
18983,ヨーロッパ中世政治思想,法学部専門教育科目,テキスト科目,甲類・乙類,2,2025,T0EC006601
18984,コミュニケーション論,法学部専門教育科目,テキスト科目,甲類・乙類,4,2025,T0EC003003
18987,経済原論（ミクロ経済学）（Ｊ）,法学部専門教育科目,テキスト科目,甲類・乙類,2,2025,T0EC004901
18988,経済原論（マクロ経済学）（Ｊ）,法学部専門教育科目,テキスト科目,甲類・乙類,2,2025,T0EC005001
18989,財政論（Ｊ）,法学部専門教育科目,テキスト科目,甲類・乙類,2,2025,T0EC004402
18990,金融論（Ｊ）,法学部専門教育科目,テキスト科目,甲類・乙類,2,2025,T0EC004703
18991,経済政策学（Ｊ）,法学部専門教育科目,テキスト科目,甲類・乙類,2,2025,T0EC004602
18992,社会政策（Ｊ）,法学部専門教育科目,テキスト科目,甲類・乙類,2,2025,T0EC001502
18986,社会保障論（Ｊ）,法学部専門教育科目,テキスト科目,甲類・乙類,3,2025,T0EC100401
18985,都市社会学（Ｊ）,法学部専門教育科目,テキスト科目,甲類・乙類,2,2025,T0EC012802
18995,人文地理学（Ｊ）,法学部専門教育科目,テキスト科目,甲類・乙類,2,2025,T0EC100101
18996,地理学Ⅰ（Ｊ）,法学部専門教育科目,テキスト科目,甲類・乙類,2,2025,T0EC100201
18997,地理学Ⅱ（Ｊ）,法学部専門教育科目,テキスト科目,甲類・乙類,2,2025,T0EC100301
18993,経営学（Ｊ）,法学部専門教育科目,テキスト科目,甲類・乙類,3,2025,T0EC004803
18994,会計学（Ｊ）,法学部専門教育科目,テキスト科目,甲類・乙類,3,2025,T0EC003503
18998,教育基礎論,教職科目,テキスト科目,,2,2025,T0F0001004
19000,青年の心理,教職科目,テキスト科目,,1,2025,T0F0000605
19001,学校カリキュラム論,教職科目,テキスト科目,,2,2025,T0F0003203
19002,国語科教育法,教職科目,テキスト科目,,3,2025,T0F0000102
19003,国語科教育法Ⅰ,教職科目,テキスト科目,,2,2025,T0F0004801
19004,国語科教育法特殊Ⅰ,教職科目,テキスト科目,,2,2025,T0F0004901
19005,社会科・地理歴史科教育法,教職科目,テキスト科目,,3,2025,T0F0002802
19006,社会科・地理歴史科教育法Ⅰ,教職科目,テキスト科目,,2,2025,T0F0005001
19007,社会科・地理歴史科教育法特論Ⅱ,教職科目,テキスト科目,,2,2025,T0F0002902
19008,社会科・公民科教育法,教職科目,テキスト科目,,3,2025,T0F0003002
19009,社会科・公民科教育法Ⅰ,教職科目,テキスト科目,,2,2025,T0F0005101
19010,社会科・公民科教育法特論Ⅱ,教職科目,テキスト科目,,2,2025,T0F0003102
19011,英語科教育法,教職科目,テキスト科目,,3,2025,T0F0000303
19012,英語科教育法Ⅰ,教職科目,テキスト科目,,2,2025,T0F0005201
19013,英語科教育法特殊Ⅰ,教職科目,テキスト科目,,2,2025,T0F0005301
19014,新・道徳教育論,教職科目,テキスト科目,,2,2025,T0F0003303
19016,特別活動論,教職科目,テキスト科目,,2,2025,T0F0004502
19015,特別支援教育論,教職科目,テキスト科目,,2,2025,T0F0005501
19017,生活指導論,教職科目,テキスト科目,,2,2025,T0F0003503
19018,生徒指導論（進路指導を含む）,教職科目,テキスト科目,,2,2025,T0F0005701
19019,教育臨床論,教職科目,テキスト科目,,2,2025,T0F0004702
19020,教育相談論,教職科目,テキスト科目,,2,2025,T0F0005402
19021,総合的な探究・学習論,教職科目,テキスト科目,,1,2025,T0F0005801
18999,現代教師論,教職科目,テキスト科目,,2,2025,T0F0005901
